dashboard_key,panel_key,title,source_tab,metric_definition,refresh_cadence,owner_group_id,migration_target
executive_control_plane,active_workstreams,Active workstreams by status,Workstreams,count_by(status),daily,sp-exec-council,DashboardPanel
executive_control_plane,open_blockers,Open blockers by severity,Risks,count_where(status=open AND severity in [high,sev1]),daily,sp-launch-council,DashboardPanel
executive_control_plane,overdue_actions,Overdue action items,ActionItems,count_where(status!=closed AND due_date<today),daily,sp-launch-council,DashboardPanel
executive_control_plane,cloud_readiness,Cloud vendor readiness by cloud,CloudVendorReadiness,percent_complete_by(cloud_vendor),daily,sp-launch-council,DashboardPanel
cloud_vendor_strategy,aws_gates,AWS readiness gates,CloudVendorReadiness,gate_status_where(cloud_vendor=aws),daily,sp-partner-gtm,DashboardPanel
cloud_vendor_strategy,azure_gates,Azure readiness gates,CloudVendorReadiness,gate_status_where(cloud_vendor=azure),daily,sp-partner-gtm,DashboardPanel
cloud_vendor_strategy,gcp_gates,Google Cloud readiness gates,CloudVendorReadiness,gate_status_where(cloud_vendor=gcp),daily,sp-partner-gtm,DashboardPanel
cloud_vendor_strategy,conformance_coverage,Conformance fixture coverage,Artifacts,count_where(artifact_type=fixture AND owning_workstream_id=cloud-vendor-strategy),daily,sp-engineering,DashboardPanel
automation_health,automation_runs_by_status,Automation runs by status,Automations,count_by(status),hourly,sp-agent-operators,DashboardPanel
automation_health,failed_runs,Failed automation runs,Automations,count_where(status=failed),hourly,sp-agent-operators,DashboardPanel
automation_health,quarantined_runs,Quarantined automation runs,Automations,count_where(status=quarantined),hourly,sp-agent-operators,DashboardPanel
automation_health,last_successful_replay,Last successful replay per automation,Automations,max(completed_at) where status in [succeeded,replayed] group_by automation_name,hourly,sp-agent-operators,DashboardPanel
migration_readiness,schema_stability,Prototype object schema stability,MigrationReadiness,count_by(schema_stability),weekly,sp-engineering,DashboardPanel
migration_readiness,automation_stability,Automation stability by object type,MigrationReadiness,count_by(automation_stability),weekly,sp-agent-operators,DashboardPanel
migration_readiness,manual_workflows_remaining,Manual workflows remaining,MigrationReadiness,count_where(migration_status=manual_only),weekly,sp-product,DashboardPanel
migration_readiness,native_targets,Native SocioProphet targets,MigrationReadiness,count_by(native_target_object),weekly,sp-product,DashboardPanel
